Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
131,TOUR,Consumer Cyclical,Travel Services,NASDAQ,164.8,98,99,99,23
132,TAST,Consumer Cyclical,Restaurants,NASDAQ,164.34,98,86,44,22
133,GATEW,Financial Services,Shell Companies,NASDAQ,164.25,98,97,14,1
134,CMT,Basic Materials,Specialty Chemicals,NYSE MKT,164.22,98,96,96,57
135,AKRO,Healthcare,Biotechnology,NASDAQ,163.44,98,99,99,99
136,BORR,Energy,Oil & Gas Drilling,NYSE,163.4,98,97,97,96
137,BWMN,Industrials,Consulting Services,NASDAQ,163.31,98,98,96,84
138,OSCR,Healthcare,Healthcare Plans,NYSE,163.19,98,58,10,13
139,EOSE,Industrials,Electrical Equipment & Parts,NASDAQ,162.73,98,91,20,5
140,CVU,Industrials,Aerospace & Defense,NYSE MKT,162.1,98,98,98,47
141,ENIC,Utilities,Utilities—Regulated Electric,NYSE,161.93,97,93,96,69
142,HIMS,Consumer Defensive,Household & Personal Products,NYSE,161.44,97,98,94,32
143,BBIO,Healthcare,Biotechnology,NASDAQ,161.19,97,98,21,51
144,TDW,Energy,Oil & Gas Equipment & Services,NYSE,161.02,97,98,99,99
145,CJJD,Healthcare,Pharmaceutical Retailers,NASDAQ,160.93,97,85,89,15
146,VOXX,Technology,Consumer Electronics,NASDAQ,160.75,97,93,93,33
147,RIG,Energy,Oil & Gas Drilling,NYSE,160.55,97,97,98,58
148,SCPH,Healthcare,Biotechnology,NASDAQ,160.41,97,93,93,68
149,AXON,Industrials,Aerospace & Defense,NASDAQ,160.19,97,97,96,74
150,NLSP,Healthcare,Biotechnology,NASDAQ,160.12,97,98,99,18
151,KBAL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,160.1,97,98,41,32
152,CLMB,Technology,Electronics & Computer Distribution,NASDAQ,159.51,97,97,87,67
153,IQ,Communication Services,Entertainment,NASDAQ,159.45,97,99,99,11
154,VERX,Technology,Software—Application,NASDAQ,159.19,97,94,33,94
155,PAYS,Technology,Software—Infrastructure,NASDAQ,159.06,97,98,96,90
156,APLD,Financial Services,Capital Markets,NASDAQ,158.97,97,34,71,17
157,NVCT,Healthcare,Biotechnology,NASDAQ,158.56,97,89,86,95
158,RELY,Technology,Software—Infrastructure,NASDAQ,158.05,97,96,77,42
159,UVE,Financial Services,Insurance—Property & Casualty,NYSE,158.04,97,97,47,28
160,PBPB,Consumer Cyclical,Restaurants,NASDAQ,158.01,97,96,93,57
161,EDU,Consumer Defensive,Education & Training Services,NYSE,157.95,97,99,99,96
162,PERI,Communication Services,Internet Content & Information,NASDAQ,157.84,97,97,94,89
163,SCLX,Healthcare,Drug Manufacturers—General,NASDAQ,157.83,97,92,20,85
164,HLX,Energy,Oil & Gas Equipment & Services,NYSE,157.42,97,97,99,95
165,ACHV,Healthcare,Biotechnology,NASDAQ,156.72,97,85,33,5
166,ISEE,Healthcare,Biotechnology,NASDAQ,156.71,97,96,91,99
167,FSLY,Technology,Software—Application,NYSE,156.53,97,92,23,8
168,LSCC,Technology,Semiconductors,NASDAQ,156.01,97,97,94,43
169,GFAI,Industrials,Security & Protection Services,NASDAQ,155.66,97,5,7,9
170,TK,Energy,Oil & Gas Midstream,NYSE,155.63,97,97,94,94
