Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
1240,PDD,Consumer Cyclical,Internet Retail,NASDAQ,106.83,82,97,98,72
1241,AMPX,Industrials,Electrical Equipment & Parts,NYSE,106.82,82,15,14,19
1242,R,Industrials,Rental & Leasing Services,NYSE,106.82,82,82,88,86
1243,ARTNA,Utilities,Utilities—Regulated Water,NASDAQ,106.81,82,65,91,89
1244,PCOR,Technology,Software—Application,NYSE,106.8,82,89,41,50
1245,GEL,Energy,Oil & Gas Midstream,NYSE,106.78,82,78,69,84
1246,VRTX,Healthcare,Biotechnology,NASDAQ,106.78,82,80,72,95
1247,CPG,Energy,Oil & Gas E&P,NYSE,106.78,82,42,66,89
1248,ALE,Utilities,Utilities—Diversified,NYSE,106.77,82,61,86,52
1249,MT,Basic Materials,Steel,NYSE,106.75,82,79,87,34
1250,FTDR,Consumer Cyclical,Personal Services,NASDAQ,106.74,82,84,32,22
1251,CIG,Utilities,Utilities—Diversified,NYSE,106.72,82,47,72,63
1252,SHEL,Energy,Oil & Gas Integrated,NYSE,106.72,82,83,84,78
1253,SWKS,Technology,Semiconductors,NASDAQ,106.72,82,83,46,23
1254,CELH,Consumer Defensive,Beverages—Non-Alcoholic,NASDAQ,106.71,81,81,97,97
1255,TSCO,Consumer Cyclical,Specialty Retail,NASDAQ,106.71,81,82,64,67
1256,PATH,Technology,Software—Infrastructure,NYSE,106.68,81,40,22,10
1257,PPIH,Industrials,Building Products & Equipment,NASDAQ,106.68,81,83,75,88
1258,DOX,Technology,Software—Infrastructure,NASDAQ,106.67,81,81,79,71
1259,ITCI,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,106.66,81,31,44,67
1260,SIM,Basic Materials,Steel,NYSE MKT,106.66,81,86,76,93
1261,RRR,Consumer Cyclical,Resorts & Casinos,NASDAQ,106.64,81,64,73,61
1262,CPB,Consumer Defensive,Packaged Foods,NYSE,106.54,81,85,83,92
1263,FDP,Consumer Defensive,Farm Products,NYSE,106.53,81,89,55,50
1264,KALV,Healthcare,Biotechnology,NASDAQ,106.53,81,41,37,4
1265,APO,Financial Services,Asset Management,NYSE,106.52,81,60,91,47
1266,ANIP,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,106.51,81,89,90,71
1267,ALIT,Technology,Software—Application,NYSE,106.51,81,77,75,56
1268,LX,Financial Services,Credit Services,NASDAQ,106.5,81,85,96,17
1269,NXPL,Technology,Software—Application,NASDAQ,106.46,81,37,9,39
1270,WLK,Basic Materials,Specialty Chemicals,NYSE,106.46,81,59,84,59
1271,CBT,Basic Materials,Specialty Chemicals,NYSE,106.45,81,72,83,88
1272,EEA,Financial Services,Asset Management,NYSE,106.44,81,81,79,33
1273,VRRM,Industrials,Infrastructure Operations,NASDAQ,106.43,81,84,34,87
1274,LFUS,Technology,Electronic Components,NASDAQ,106.41,81,82,72,38
1275,EEFT,Technology,Software—Infrastructure,NASDAQ,106.4,81,61,77,24
1276,MXF,Financial Services,Asset Management,NYSE,106.4,81,83,83,58
1277,ZBH,Healthcare,Medical Devices,NYSE,106.39,81,74,75,62
1278,INGR,Consumer Defensive,Packaged Foods,NYSE,106.39,81,79,82,61
1279,RSSS,Technology,Software—Application,NASDAQ,106.36,81,71,45,73
1280,MTCN,n/a,n/a,NYSE,106.34,81,73,87,35
1281,WNS,Technology,Information Technology Services,NYSE,106.34,81,86,57,79
1282,BSAC,Financial Services,Banks—Regional,NYSE,106.3,81,63,49,48
1283,DXCM,Healthcare,Medical Devices,NASDAQ,106.3,81,87,67,71
1284,SEAS,Consumer Cyclical,Leisure,NYSE,106.26,81,77,70,62
1285,CRCT,Technology,Computer Hardware,NASDAQ,106.25,81,86,37,42
1286,HGV,Consumer Cyclical,Resorts & Casinos,NYSE,106.23,81,64,72,47
1287,LOMA,Basic Materials,Building Materials,NYSE,106.23,81,83,90,90
1288,IMOS,Technology,Semiconductors,NASDAQ,106.22,81,50,37,22
1289,IAUX,Basic Materials,Gold,NYSE MKT,106.21,81,39,94,54
1290,AZO,Consumer Cyclical,Specialty Retail,NYSE,106.21,81,85,74,92
1291,TWNK,Consumer Defensive,Packaged Foods,NASDAQ,106.19,81,82,50,94
1292,HLT,Consumer Cyclical,Lodging,NYSE,106.19,81,65,60,62
1293,SITM,Technology,Semiconductors,NASDAQ,106.17,81,74,24,6
1294,GIS,Consumer Defensive,Packaged Foods,NYSE,106.15,81,82,79,92
1295,KNX,Industrials,Trucking,NYSE,106.13,81,77,80,70
1296,SNCY,Industrials,Airlines,NASDAQ,106.1,81,77,49,18
1297,CAPL,Energy,Oil & Gas Refining & Marketing,NYSE,106.04,81,84,75,66
1298,PTC,Technology,Software—Application,NASDAQ,106.04,81,68,88,69
1299,KMPR,Financial Services,Insurance—Property & Casualty,NYSE,106.03,81,81,78,47
1300,MNST,Consumer Defensive,Beverages—Non-Alcoholic,NASDAQ,106.0,81,86,77,74
1301,BEKE,Real Estate,Real Estate Services,NYSE,106.0,81,92,91,34
1302,INFN,Technology,Communication Equipment,NASDAQ,105.99,81,82,86,25
1303,MCD,Consumer Cyclical,Restaurants,NYSE,105.97,81,77,71,71
1304,CMC,Basic Materials,Steel,NYSE,105.96,81,83,95,94
1305,EVR,Financial Services,Capital Markets,NYSE,105.96,81,82,91,42
1306,MDLZ,Consumer Defensive,Confectioners,NASDAQ,105.91,81,77,76,61
1307,OLN,Basic Materials,Specialty Chemicals,NYSE,105.9,81,53,80,62
1308,MMP,Energy,Oil & Gas Midstream,NYSE,105.88,81,80,74,81
1309,TER,Technology,Semiconductor Equipment & Materials,NASDAQ,105.87,81,83,54,20
1310,AMRK,Financial Services,Capital Markets,NASDAQ,105.87,81,33,92,54
1311,JJP,n/a,n/a,NYSE ARCA,105.85,81,69,75,59
1312,CBOE,Financial Services,Financial Data & Stock Exchanges,BATS,105.84,81,70,60,72
1313,NYXH,Healthcare,Medical Instruments & Supplies,NASDAQ,105.78,81,13,10,6
1314,GTXAP,Consumer Cyclical,Auto Parts,NASDAQ,105.78,81,70,81,68
1315,IOSP,Basic Materials,Specialty Chemicals,NASDAQ,105.76,81,63,84,68
1316,DD,Basic Materials,Specialty Chemicals,NYSE,105.76,81,78,89,42
1317,MRM,Consumer Cyclical,Personal Services,NASDAQ,105.75,81,84,21,56
1318,CRMT,Consumer Cyclical,Auto & Truck Dealerships,NASDAQ,105.72,81,45,65,21
1319,NUE,Basic Materials,Steel,NYSE,105.72,81,87,90,86
1320,EIX,Utilities,Utilities—Regulated Electric,NYSE,105.7,81,64,78,62
1321,RLI,Financial Services,Insurance—Property & Casualty,NYSE,105.65,81,85,89,86
1322,CION,Financial Services,Asset Management,NYSE,105.65,81,54,86,60
1323,JXN,Financial Services,Insurance—Life,NYSE,105.62,80,78,76,76
1324,EZPW,Financial Services,Credit Services,NASDAQ,105.62,80,86,84,92
1325,AMUB,Exchange Traded Fund,USA,NYSE ARCA,105.58,80,81,83,90
1326,ATR,Healthcare,Medical Instruments & Supplies,NYSE,105.58,80,78,77,54
1327,BJ,Consumer Defensive,Discount Stores,NYSE,105.57,80,83,51,91
1328,PNW,Utilities,Utilities—Regulated Electric,NYSE,105.56,80,61,80,58
1329,RBBN,Communication Services,Telecom Services,NASDAQ,105.54,80,92,51,20
1330,BGY,Financial Services,Asset Management,NYSE,105.54,80,79,78,45
1331,EPIX,Healthcare,Biotechnology,NASDAQ,105.53,80,23,28,6
1332,MFH,Financial Services,Capital Markets,NASDAQ,105.51,80,49,65,21
1333,CEMI,Healthcare,Diagnostics & Research,NASDAQ,105.51,80,59,11,3
1334,ALNY,Healthcare,Biotechnology,NASDAQ,105.51,80,65,94,96
1335,BC,Consumer Cyclical,Recreational Vehicles,NYSE,105.49,80,84,71,47
1336,HUM,Healthcare,Healthcare Plans,NYSE,105.44,80,63,72,92
1337,NVS,Healthcare,Drug Manufacturers—General,NYSE,105.44,80,52,76,58
1338,AMJ,Exchange Traded Fund,USA,NYSE ARCA,105.44,80,82,83,90
1339,SVRA,Healthcare,Biotechnology,NASDAQ,105.42,80,97,93,44
1340,FBGX,n/a,n/a,NYSE ARCA,105.39,80,44,26,23
1341,ECOR,Healthcare,Medical Devices,NASDAQ,105.39,80,10,11,14
1342,FWRG,Consumer Cyclical,Restaurants,NASDAQ,105.38,80,64,77,87
1343,VLRS,Industrials,Airlines,NYSE,105.31,80,54,68,14
1344,PHR,Healthcare,Health Information Services,NYSE,105.3,80,92,93,44
1345,BCO,Industrials,Security & Protection Services,NYSE,105.29,80,82,63,63
1346,COLL,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,105.29,80,93,97,75
1347,ISRG,Healthcare,Medical Instruments & Supplies,NASDAQ,105.26,80,49,80,30
1348,ET,Energy,Oil & Gas Midstream,NYSE,105.25,80,83,85,93
1349,UTSI,Technology,Communication Equipment,NASDAQ,105.25,80,86,94,79
1350,MGLD,Financial Services,Asset Management,NYSE MKT,105.24,80,82,45,26
1351,ITT,Industrials,Specialty Industrial Machinery,NYSE,105.23,80,85,86,56
1352,SAIC,Technology,Information Technology Services,NYSE,105.23,80,79,86,87
1353,CHS,Consumer Cyclical,Apparel Retail,NYSE,105.21,80,87,39,69
1354,PIPR,Financial Services,Capital Markets,NYSE,105.21,80,60,87,49
1355,NLSPW,n/a,n/a,NASDAQ,105.18,80,12,26,25
1356,TBBK,Financial Services,Banks—Regional,NASDAQ,105.18,80,78,88,69
1357,AMX,Communication Services,Telecom Services,NYSE,105.17,80,87,79,57
1358,TSM,Technology,Semiconductors,NYSE,105.16,80,67,62,22
1359,TEO,Communication Services,Telecom Services,NYSE,105.16,80,56,93,51
1360,NLTX,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,105.13,80,40,9,3
1361,GBX,Industrials,Railroads,NYSE,105.11,80,21,42,24
1362,IMCR,Healthcare,Biotechnology,NASDAQ,105.11,80,95,97,97
1363,INSP,Healthcare,Medical Devices,NYSE,105.1,80,85,88,39
1364,WCC,Industrials,Industrial Distribution,NYSE,105.09,80,91,80,86
1365,EPAC,Industrials,Specialty Industrial Machinery,NYSE,105.06,80,94,90,91
1366,DOOR,Industrials,Building Products & Equipment,NYSE,105.05,80,82,80,36
1367,VVX,Industrials,Aerospace & Defense,NYSE,105.04,80,83,81,67
1368,ARTW,Industrials,Farm & Heavy Construction Machinery,NASDAQ,105.04,80,29,32,30
1369,BSM,Energy,Oil & Gas E&P,NYSE,105.02,80,58,85,97
1370,HDB,Financial Services,Banks—Regional,NYSE,105.02,80,67,77,68
1371,KRTX,Healthcare,Biotechnology,NASDAQ,105.01,80,92,93,99
1372,FNV,Basic Materials,Gold,NYSE,105.01,80,55,80,56
1373,AZN,Healthcare,Drug Manufacturers—General,NASDAQ,105.0,80,71,84,58
1374,TRGP,Energy,Oil & Gas Midstream,NYSE,104.97,80,70,83,88
1375,CALM,Consumer Defensive,Farm Products,NASDAQ,104.97,80,85,75,97
1376,LMT,Industrials,Aerospace & Defense,NYSE,104.96,80,81,82,79
1377,RGCO,Utilities,Utilities—Regulated Gas,NASDAQ,104.95,80,85,71,83
1378,YORW,Utilities,Utilities—Regulated Water,NASDAQ,104.92,80,61,77,65
1379,NKE,Consumer Cyclical,Footwear & Accessories,NYSE,104.9,80,70,86,26
1380,ARW,Technology,Electronics & Computer Distribution,NYSE,104.9,80,73,66,41
1381,BUI,Financial Services,Asset Management,NYSE,104.9,80,64,71,52
1382,SIX,Consumer Cyclical,Leisure,NYSE,104.85,80,61,56,21
1383,KEX,Industrials,Marine Shipping,NYSE,104.85,80,67,53,89
1384,GSL,Industrials,Marine Shipping,NYSE,104.84,80,51,36,42
1385,DT,Technology,Software—Application,NYSE,104.83,80,59,35,31
1386,CLB,Energy,Oil & Gas Equipment & Services,NYSE,104.79,80,64,84,30
1387,GWRE,Technology,Software—Application,NYSE,104.78,80,68,41,21
1388,TT,Industrials,Building Products & Equipment,NYSE,104.78,80,89,87,70
1389,JNPR,Technology,Communication Equipment,NYSE,104.78,80,60,72,54
1390,BAR,Exchange Traded Fund,USA,NYSE ARCA,104.76,80,78,74,63
1391,HMC,Consumer Cyclical,Auto Manufacturers,NYSE,104.76,80,70,44,43
1392,CASS,Industrials,Specialty Business Services,NASDAQ,104.75,80,89,92,87
1393,ATVI,Communication Services,Electronic Gaming & Multimedia,NASDAQ,104.75,80,66,70,61
1394,HOFT,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,104.73,79,88,89,29
1395,HSBC,Financial Services,Banks—Diversified,NYSE,104.73,79,86,86,48
1396,SWBI,Industrials,Aerospace & Defense,NASDAQ,104.73,79,45,20,25
1397,BXSL,Financial Services,Asset Management,NYSE,104.7,79,75,46,70
1398,SKIN,Consumer Defensive,Household & Personal Products,NASDAQ,104.67,79,45,18,41
1399,RELL,Technology,Electronic Components,NASDAQ,104.66,79,89,95,97
1400,AXGN,Healthcare,Medical Devices,NASDAQ,104.65,79,23,53,95
1401,RICK,Consumer Cyclical,Restaurants,NASDAQ,104.65,79,89,95,94
1402,BGCP,Financial Services,Capital Markets,NASDAQ,104.65,79,91,75,61
1403,DOV,Industrials,Specialty Industrial Machinery,NYSE,104.62,79,79,71,47
1404,MESO,Healthcare,Biotechnology,NASDAQ,104.58,79,65,28,39
1405,AMEH,Healthcare,Medical Care Facilities,NASDAQ,104.55,79,72,25,22
1406,CDW,Technology,Information Technology Services,NASDAQ,104.55,79,82,84,60
1407,KLIC,Technology,Semiconductor Equipment & Materials,NASDAQ,104.54,79,84,81,31
1408,MYNA,Technology,Communication Equipment,NASDAQ,104.53,79,87,9,13
1409,PSN,Industrials,Specialty Industrial Machinery,NYSE,104.49,79,68,83,91
1410,TDY,Technology,Scientific & Technical Instruments,NYSE,104.47,79,67,73,42
1411,VCTR,Financial Services,Asset Management,NASDAQ,104.47,79,74,74,61
1412,EPRT,Real Estate,REIT—Diversified,NYSE,104.47,79,78,73,37
1413,SONY,Technology,Consumer Electronics,NYSE,104.46,79,68,71,26
1414,AMS,Healthcare,Medical Care Facilities,NYSE MKT,104.45,79,87,88,92
1415,FELE,Industrials,Specialty Industrial Machinery,NASDAQ,104.44,79,85,62,89
1416,ASTL,Basic Materials,Steel,NASDAQ,104.44,79,71,19,24
1417,LUNR,Industrials,Aerospace & Defense,NASDAQ,104.42,79,96,64,83
1418,GSDWU,Financial Services,Shell Companies,NASDAQ,104.42,79,69,53,75
1419,DDS,Consumer Cyclical,Department Stores,NYSE,104.41,79,83,95,97
1420,EXEL,Healthcare,Biotechnology,NASDAQ,104.4,79,55,33,38
1421,CMCO,Industrials,Farm & Heavy Construction Machinery,NASDAQ,104.4,79,82,84,25
1422,LKQ,Consumer Cyclical,Auto Parts,NASDAQ,104.36,79,80,82,67
1423,UHAL,Industrials,Rental & Leasing Services,NYSE,104.35,79,71,86,63
1424,VRTV,Industrials,Conglomerates,NYSE,104.34,79,50,81,62
1425,ESTE,Energy,Oil & Gas E&P,NYSE,104.34,79,44,51,90
1426,SPR,Industrials,Aerospace & Defense,NYSE,104.33,79,61,76,19
1427,PDSB,Healthcare,Biotechnology,NASDAQ,104.32,79,93,99,31
1428,APTV,Consumer Cyclical,Auto Parts,NYSE,104.31,79,86,59,29
1429,B,Industrials,Specialty Industrial Machinery,NYSE,104.31,79,67,91,56
1430,DCO,Industrials,Aerospace & Defense,NYSE,104.3,79,84,90,59
1431,MCRI,Consumer Cyclical,Resorts & Casinos,NASDAQ,104.28,79,56,88,59
1432,PCH,Real Estate,REIT—Specialty,NASDAQ,104.28,79,59,36,48
1433,SEM,Healthcare,Medical Care Facilities,NYSE,104.27,79,67,83,49
1434,CLWT,Industrials,Pollution & Treatment Controls,NASDAQ,104.26,79,44,61,50
1435,XYL,Industrials,Specialty Industrial Machinery,NYSE,104.26,79,71,92,69
1436,MMMB,Consumer Defensive,Packaged Foods,NASDAQ,104.25,79,92,94,22
1437,ATGE,Consumer Defensive,Education & Training Services,NYSE,104.25,79,86,75,89
1438,EPC,Consumer Defensive,Household & Personal Products,NYSE,104.25,79,80,68,65
1439,CTRE,Real Estate,REIT—Healthcare Facilities,NYSE,104.23,79,58,70,54
1440,CSIQ,Technology,Solar,NASDAQ,104.22,79,87,95,66
1441,MSM,Industrials,Industrial Distribution,NYSE,104.22,79,63,54,66
1442,APD,Basic Materials,Specialty Chemicals,NYSE,104.21,79,81,91,66
1443,ABNB,Consumer Cyclical,Travel Services,NASDAQ,104.21,79,79,20,52
1444,EMBC,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,104.19,79,38,17,54
1445,ACT,Financial Services,Insurance—Specialty,NASDAQ,104.18,79,55,81,90
1446,MCHX,Communication Services,Advertising Agencies,NASDAQ,104.18,79,45,37,28
1447,YUM,Consumer Cyclical,Restaurants,NYSE,104.17,79,75,77,58
1448,TEF,Technology,Telecom Services - Foreign,NYSE,104.17,79,67,48,27
1449,GPRE,Basic Materials,Specialty Chemicals,NASDAQ,104.16,79,58,69,55
1450,AVT,Technology,Electronics & Computer Distribution,NASDAQ,104.15,79,62,80,64
1451,USPH,Healthcare,Medical Care Facilities,NYSE,104.13,79,79,42,31
1452,UTI,Consumer Defensive,Education & Training Services,NYSE,104.12,79,42,49,34
1453,RTC,Technology,Software—Application,NASDAQ,104.11,79,91,93,69
1454,EB,Technology,Software—Application,NYSE,104.1,79,50,23,10
1455,DTB,n/a,n/a,NYSE,104.09,79,57,69,40
1456,ETN,Industrials,Specialty Industrial Machinery,NYSE,104.09,79,87,83,65
1457,MCN,Financial Services,Asset Management,NYSE,104.09,79,69,77,68
1458,BGR,Financial Services,Asset Management,NYSE,104.08,79,69,83,92
1459,V,Financial Services,Credit Services,NYSE,104.07,79,79,79,51
1460,ZTO,Industrials,Integrated Freight & Logistics,NYSE,104.06,79,66,78,49
1461,AMSF,Financial Services,Insurance—Specialty,NASDAQ,104.03,79,81,83,75
1462,HIMX,Technology,Semiconductors,NASDAQ,104.01,79,58,49,21
1463,CVNA,Consumer Cyclical,Internet Retail,NYSE,104.0,78,17,1,4
1464,PRDO,Consumer Defensive,Education & Training Services,NASDAQ,104.0,78,86,93,59
1465,HCC,Basic Materials,Coking Coal,NYSE,103.99,78,66,62,91
1466,MAR,Consumer Cyclical,Lodging,NASDAQ,103.99,78,62,69,62
1467,POCI,Healthcare,Medical Instruments & Supplies,NASDAQ,103.94,78,87,47,64
1468,PFIE,Energy,Oil & Gas Equipment & Services,NASDAQ,103.93,78,62,56,31
1469,INDT,Real Estate,Real Estate Services,NASDAQ,103.92,78,68,70,34
1470,LLY,Healthcare,Drug Manufacturers—General,NYSE,103.92,78,70,84,94
1471,BIPC,Utilities,Utilities—Regulated Gas,NYSE,103.91,78,58,60,64
1472,VIRC,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,103.91,78,86,94,96
1473,BITF,Financial Services,Capital Markets,NASDAQ,103.89,78,51,14,7
1474,GPC,Consumer Cyclical,Specialty Retail,NYSE,103.88,78,81,85,94
1475,SMID,Basic Materials,Building Materials,NASDAQ,103.87,78,27,38,97
1476,ST,Technology,Scientific & Technical Instruments,NYSE,103.85,78,75,55,41
1477,ACM,Industrials,Engineering & Construction,NYSE,103.85,78,84,88,85
1478,DRVN,Consumer Cyclical,Auto & Truck Dealerships,NASDAQ,103.8,78,48,39,87
1479,VMI,Industrials,Conglomerates,NYSE,103.78,78,82,93,95
1480,VCEL,Healthcare,Biotechnology,NASDAQ,103.78,78,88,53,30
1481,VSH,Technology,Semiconductors,NYSE,103.77,78,79,85,68
1482,AVA,Utilities,Utilities—Diversified,NYSE,103.77,78,56,73,64
1483,BPRN,Financial Services,Banks—Regional,NASDAQ,103.76,78,84,80,87
1484,MEOH,Basic Materials,Chemicals,NASDAQ,103.76,78,87,80,34
1485,NVMI,Technology,Semiconductor Equipment & Materials,NASDAQ,103.74,78,64,51,24
1486,LWAY,Consumer Defensive,Packaged Foods,NASDAQ,103.74,78,61,72,70
1487,EXPD,Industrials,Integrated Freight & Logistics,NASDAQ,103.73,78,77,80,51
1488,GSRMU,Financial Services,Shell Companies,NASDAQ,103.71,78,69,51,86
1489,TWN,Financial Services,Asset Management,NYSE,103.71,78,64,47,26
1490,PBH,Healthcare,Medical Distribution,NYSE,103.69,78,73,87,61
1491,UHS,Healthcare,Medical Care Facilities,NYSE,103.68,78,52,93,35
1492,KIDS,Healthcare,Medical Devices,NASDAQ,103.68,78,38,40,57
1493,ROST,Consumer Cyclical,Apparel Retail,NASDAQ,103.63,78,83,93,57
1494,CHCI,Real Estate,Real Estate—Diversified,NASDAQ,103.63,78,90,30,55
1495,VCIF,Financial Services,Asset Management,NYSE,103.63,78,81,42,55
1496,ICFI,Industrials,Consulting Services,NASDAQ,103.62,78,81,48,94
1497,MODG,Consumer Cyclical,Leisure,NYSE,103.61,78,62,72,35
1498,VRSN,Technology,Software—Infrastructure,NASDAQ,103.6,78,63,77,57
1499,DHAC,Financial Services,Shell Companies,NASDAQ,103.58,78,84,71,85
1500,ASCAU,Financial Services,Shell Companies,NASDAQ,103.57,78,74,58,78
1501,YSG,Consumer Cyclical,Specialty Retail,NYSE,103.54,78,97,95,47
1502,COKE,Consumer Defensive,Beverages—Non-Alcoholic,NASDAQ,103.53,78,68,47,61
1503,AJG,Financial Services,Insurance Brokers,NYSE,103.52,78,78,81,89
1504,ALPAU,Financial Services,Shell Companies,NASDAQ,103.5,78,69,54,73
1505,SCVL,Consumer Cyclical,Apparel Retail,NASDAQ,103.49,78,57,51,45
1506,CSCO,Technology,Communication Equipment,NASDAQ,103.46,78,64,71,46
1507,LEGN,Healthcare,Biotechnology,NASDAQ,103.45,78,62,89,59
1508,ARNC,Industrials,Metal Fabrication,NYSE,103.45,78,67,38,25
1509,ENV,Technology,Software—Application,NYSE,103.44,78,39,85,25
1510,BBSI,Industrials,Staffing & Employment Services,NASDAQ,103.44,78,81,92,92
1511,XLO,Healthcare,Biotechnology,NASDAQ,103.41,78,64,18,8
1512,HSIC,Healthcare,Medical Distribution,NASDAQ,103.4,78,56,71,51
1513,AMLI,Basic Materials,Other Industrial Metals & Mining,NASDAQ,103.36,78,89,98,32
1514,SONO,Technology,Consumer Electronics,NASDAQ,103.36,78,65,39,18
1515,MCRB,Healthcare,Biotechnology,NASDAQ,103.35,78,57,34,97
1516,SEDG,Technology,Solar,NASDAQ,103.34,78,68,92,26
1517,AVRO,Healthcare,Biotechnology,NASDAQ,103.33,78,94,55,9
1518,DM,Technology,Computer Hardware,NYSE,103.31,78,53,9,27
1519,QD,Financial Services,Credit Services,NYSE,103.31,78,94,78,27
1520,UAL,Industrials,Airlines,NASDAQ,103.31,78,91,92,44
1521,WAB,Industrials,Railroads,NYSE,103.3,78,78,86,68
1522,CSTM,Basic Materials,Aluminum,NYSE,103.29,78,78,50,28
1523,AMP,Financial Services,Asset Management,NYSE,103.28,78,63,88,71
1524,VST,Utilities,Utilities—Independent Power Producers,NYSE,103.28,78,64,53,70
1525,AEO,Consumer Cyclical,Apparel Retail,NYSE,103.28,78,46,88,20
1526,RBC,Industrials,Tools & Accessories,NYSE,103.27,78,67,77,88
1527,CAR,Industrials,Rental & Leasing Services,NASDAQ,103.27,78,72,52,74
1528,CARR,Industrials,Building Products & Equipment,NYSE,103.26,78,83,85,46
1529,AVNT,Basic Materials,Specialty Chemicals,NYSE,103.26,78,57,50,28
1530,ITRI,Technology,Scientific & Technical Instruments,NASDAQ,103.26,78,77,85,37
1531,BFZ,Financial Services,Asset Management,NYSE,103.24,77,69,52,50
1532,WWW,Consumer Cyclical,Footwear & Accessories,NYSE,103.24,77,80,15,22
1533,ACACU,Financial Services,Shell Companies,NASDAQ,103.24,77,76,60,76
1534,CBL,Real Estate,REIT—Retail,NYSE,103.22,77,55,50,59
1535,AIV,Real Estate,REIT—Residential,NYSE,103.22,77,52,79,71
1536,BHAT,Communication Services,Electronic Gaming & Multimedia,NASDAQ,103.21,77,8,1,2
1537,HI,Industrials,Specialty Industrial Machinery,NYSE,103.19,77,58,80,58
1538,STBX,Communication Services,Internet Content & Information,NASDAQ,103.18,77,26,28,0
1539,THC,Healthcare,Medical Care Facilities,NYSE,103.18,77,44,22,45
1540,TTC,Industrials,Tools & Accessories,NYSE,103.15,77,89,91,88
1541,TZOO,Communication Services,Advertising Agencies,NASDAQ,103.13,77,41,33,19
1542,MGEE,Utilities,Utilities—Diversified,NASDAQ,103.12,77,53,49,51
1543,CRAI,Industrials,Consulting Services,NASDAQ,103.12,77,87,94,87
1544,UPS,Industrials,Integrated Freight & Logistics,NYSE,103.11,77,60,55,52
1545,DOCN,Technology,Software—Infrastructure,NYSE,103.1,77,46,12,27
1546,RUSHA,Consumer Cyclical,Auto & Truck Dealerships,NASDAQ,103.09,77,78,71,64
1547,VYGR,Healthcare,Biotechnology,NASDAQ,103.09,77,94,98,93
1548,X,Basic Materials,Steel,NYSE,103.08,77,79,92,50
1549,SUN,Energy,Oil & Gas Refining & Marketing,NYSE,103.08,77,70,79,70
1550,IGIC,Financial Services,Insurance—Diversified,NASDAQ,103.07,77,80,76,64
1551,LAUR,Consumer Defensive,Education & Training Services,NASDAQ,103.06,77,76,28,53
1552,MYPSW,n/a,n/a,NASDAQ,103.06,77,26,21,15
1553,ETD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NYSE,103.05,77,84,89,66
1554,SHEN,Communication Services,Telecom Services,NASDAQ,102.98,77,46,28,38
1555,RLGT,Industrials,Integrated Freight & Logistics,NYSE MKT,102.95,77,40,27,53
1556,MBIN,Financial Services,Banks—Regional,NASDAQ,102.93,77,68,48,62
1557,VRE,Real Estate,REIT—Residential,NYSE,102.92,77,56,88,39
1558,FOA,Financial Services,Credit Services,NYSE,102.9,77,31,18,25
1559,AGX,Industrials,Engineering & Construction,NYSE,102.89,77,87,78,55
1560,SUPN,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,102.85,77,83,89,93
1561,UTMD,Healthcare,Medical Instruments & Supplies,NASDAQ,102.84,77,56,71,76
1562,ABC,Healthcare,Medical Distribution,NYSE,102.83,77,59,83,87
1563,BRY,Energy,Oil & Gas E&P,NASDAQ,102.79,77,69,69,88
1564,GPACU,Financial Services,Shell Companies,NASDAQ,102.79,77,78,60,80
1565,CLAY,Financial Services,Shell Companies,NASDAQ,102.78,77,77,66,83
1566,SDPI,Energy,Oil & Gas Equipment & Services,NYSE MKT,102.77,77,68,94,28
1567,INTU,Technology,Software—Application,NASDAQ,102.76,77,53,32,49
1568,CRESY,Industrials,Conglomerates,NASDAQ,102.75,77,85,91,72
1569,BEN,Financial Services,Asset Management,NYSE,102.75,77,80,87,44
1570,ICHR,Technology,Semiconductor Equipment & Materials,NASDAQ,102.75,77,60,69,23
1571,COLM,Consumer Cyclical,Apparel Manufacturing,NASDAQ,102.74,77,79,85,51
1572,GRCYU,Financial Services,Shell Companies,NASDAQ,102.73,77,71,66,73
1573,FANG,Energy,Oil & Gas E&P,NASDAQ,102.71,77,57,78,93
1574,DIT,Consumer Defensive,Food Distribution,NYSE MKT,102.7,77,47,54,71
1575,EMX,Basic Materials,Other Industrial Metals & Mining,NYSE MKT,102.7,77,65,70,45
1576,APH,Technology,Electronic Components,NYSE,102.69,77,69,82,68
1577,MU,Technology,Semiconductors,NASDAQ,102.67,77,42,29,34
1578,SBR,Energy,Oil & Gas E&P,NYSE,102.66,77,54,93,98
1579,EQIX,Real Estate,REIT—Specialty,NASDAQ,102.66,77,66,85,33
1580,DASH,Communication Services,Internet Content & Information,NYSE,102.65,77,33,19,8
1581,MPLX,Energy,Oil & Gas Midstream,NYSE,102.61,77,80,74,86
1582,ASAN,Technology,Software—Application,NYSE,102.61,77,78,8,23
