Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
109,Internet Content & Information,Communication Services,87.04,29,33,41,69,"MATH,GRPN,SNAP,META,SPOT,DASH,NN,TRUE,LCFY,PINS,JFIN,TBLA,CARG,YELP,ZG,Z,TME,TWLO,EVER,GOOG,GOOGL,GENI,OPRA,ZDGE,SCOR,MAX,CMCM,ANGI,TTGT,IAC,YNDX,SSTK,FVRR,MTCH,GETY,YY,ATHM,OB,PERI,SMWB,THRY,BIDU,IZEA,SEAT,FENG,DOYU,MOMO,KIND,ASST,ZH,WB,KRKR,UPXI,FAZE,BODY,ONFO,BZFD,LIZI,AREN,LKCO,TRVG,TC,GROM,STBX"
110,Publishing,Communication Services,86.98,28,27,64,32,"RELX,NYT,PSO,DALN,GCI,SCHL,WLY,WLYB,EDUC,LEE"
111,Specialty Retail,Consumer Cyclical,86.81,28,19,16,24,"HNST,WSM,BNED,KIRK,ASO,BBWI,MUSA,FLWS,SBH,MNSO,CASY,BWMX,DKS,HZO,WINA,LE,TLF,ODP,FIVE,CONN,ULTA,ARKO,BBY,ORLY,AZO,TSCO,EYE,RH,POL,BBW,GME,GPC,TCS,AAP,SPWH,EVGO,GRWG,BGFV,OLPX,YSG,BARK,WOOF,JOAN,CHPT,NAAS,NVVE"
112,Drug Manufacturers—Specialty & Generic,Healthcare,86.7,27,28,17,60,"IXHL,AMRX,DERM,PRFX,AQST,ESPR,RDHL,ORGO,ELAN,AMPH,AVDL,ALIM,COLL,TKNO,CYTH,CRDL,TARO,PETQ,EOLS,ITCI,ACOR,ALVO,TEVA,KMDA,NBIX,ANIP,IRWD,DVAX,VTRS,ZTS,RDY,CPIX,LFCR,PROC,DCPH,HCM,CRON,BHC,AYTU,TLRY,PRGO,HLN,SIGA,EVO,PCRX,EMBC,SNDL,CTLT,ZOM,ACRX,SSIC,TAK,LNTH,UPC,CLVRW,SUPN,PTPI,OPTN,RMTI,THTX,PAHC,OGI,SCYX,FLGC,PRPH,HUGE,GHSI,HPCO,ACB,QLI,INCR,AKAN,SHPH,TXMD,HROW,SXTC,EVOK,COSM,CGC,KALA,SBFM,BGXX,CLVR,AGRX,SCTL,YCBD,IMCC,CPHI,EBS,SISI,RGC,ASRT,BFRI,EGRX,NEPT,SNOA,DRRX"
113,Gold,Basic Materials,86.48,26,69,13,41,"GAU,THM,HMY,NGD,EGO,KGC,IDR,WPM,PZG,AGI,AEM,CGAU,GOLD,GFI,OR,CMCL,USAU,EQX,RGLD,CDE,GLDG,SA,IAG,SAND,NEM,VGZ,AU,BTG,HL,AAU,TRX,DRD,HYMCL,ORLA,NG,NFGC,FNV,IAUX,AUST,SBSW,DC,SSRM,CTGO,ODV,HYMC,GORO"
114,Utilities—Regulated Gas,Utilities,86.43,26,32,29,8,"NFE,SPH,ATO,SWX,NI,SR,RGCO,NJR,CPK,UGI,UGIC,NWN,BIPC,OGS,OPAL"
115,Personal Services,Consumer Cyclical,86.34,25,79,56,30,"ROVR,HRB,BFAM,FTDR,MCW,ROL,SCI,WW,MRM,CSV,MED,EM,RGS,XWEL,EJH"
116,Medical Instruments & Supplies,Healthcare,85.71,24,20,25,32,"EKSO,NEPH,PLSE,OSUR,NXGL,AZTA,PDEX,HBIO,ISRG,RGEN,SMTI,COO,STXS,TFX,INFU,ATR,MMSI,WRBY,WST,DXR,ALC,XRAY,POCI,ZTEK,LMAT,STVN,HAE,HOLX,FEMY,BAX,BDX,BLCO,MASI,BLFS,RMD,QDEL,UTMD,RVP,MLSS,AKYA,ATRC,ATRI,NVST,MBOT,KRMD,ANGO,NYXH,OMIC,ICUI,POAI,STSS,STAA,GCTK,LUCY,NVCR,MHUA,AVGR,NSTG"
117,Medical Devices,Healthcare,85.56,24,13,10,39,"MYO,NPCE,BWAY,CVRX,BVS,ZIMV,RXST,RWLK,SMLR,NSPR,XTNT,MODD,QTRX,GKOS,NMTC,LNSR,AXGN,PHG,TLIS,ITGR,BTCY,MASS,DXCM,IRIX,TMDX,FONR,ICCM,PRCT,MXCT,ECOR,AORT,LUNG,BSX,RCEL,IRMD,OWLT,CTKB,SRDX,IRTC,UFPT,SIBN,ABT,SYK,LUCD,MDT,TNDM,ATEC,STE,CNMD,NVNO,VANI,AXNX,CERS,NARI,BRKR,SNN,VREX,CODX,PACB,ARAY,ZBH,ELMD,CLPT,DCTH,ICAD,ANIK,LIVN,VVOS,QIPT,PODD,IART,PEN,ALGN,EW,SWAV,VMD,GMED,BMRA,TCMD,FNA,ASXC,RPID,OFIX,KIDS,MDGS,SGHT,EAR,APYX,INSP,BIO,NNOX,SENS,AEMD,NVRO,INGN,AVNS,TELA,HSDT,PAVM,SSKN,INVO,SRTS,PROF,HYPR,NXL,TMCI,AHCO,MOVE,BSGM,IINN,INMD,BFLY,DYNT,EDAP,TNON,BBLG,AXDX,TIVC,PETV,ESTA,SILK,XAIR,RBOT,OSA,VERO,NURO,OSAAW,NAOV,CTSO,OM,RSLS,THMO,CUTR,SINT,SIEN,NUWE,HSCS,BIOL,TBIO,AFIB,BJDX,MOTS"
118,Textile Manufacturing,Consumer Cyclical,85.23,23,42,32,70,"AIN,CULP,DXYN,UFI"
119,Pharmaceutical Retailers,Healthcare,85.05,22,52,64,46,"BIMI,LFMD,HITI,SSY,LFMDP,WBA,MEDS,LFLY,YI,PETS,CJJD,MDVL"
120,Oil & Gas E&P,Energy,84.82,22,21,73,15,"BATL,GPOR,VIST,IMPP,PR,CNQ,SWN,CKX,SM,CHRD,CRC,EGY,CNX,CRGY,PNRG,FANG,RRC,IMPPP,COP,CIVI,VIVK,DMLP,NOG,VTS,MTDR,BSM,EQT,PXD,CTRA,HES,CPE,OVV,OBE,MUR,CLMT,EOG,SBOW,KOS,PHX,CPG,MRO,CHK,KRP,MGY,OXY,BRY,ERF,VTLE,SBR,WDS,DVN,AR,CRT,BRN,APA,TPL,SD,EP,VET,TALO,GPRK,TXO,EPSN,NEXT,MVO,BTE,AMPY,HPK,EPM,GTE,REPX,MTR,PED,VOC,HUSA,CRK,MXC,REI,PRT,WTI,USEG,INDO,SJT,PVL,TELL,NRT,CEI"
121,Oil & Gas Drilling,Energy,84.67,21,13,92,94,"SDRL,BORR,NE,DO,PDS,RIG,HP,PTEN,ICD,NBR"
122,Diagnostics & Research,Healthcare,84.27,20,15,6,10,"SERA,TWST,STIM,OLK,NTRA,CDNA,GTH,RDNT,MEDP,MDXH,PSNL,CNTG,NEO,NOTV,ICLR,IDXX,SHC,CSTL,EXAS,BDSX,CRL,LH,NEOG,IQV,WAT,DHR,A,STRR,DGX,BIAF,STRRP,LAB,TMO,QGEN,MYGN,NDRA,PMD,FLGT,AWH,GH,MTD,VNRX,ENZ,CHEK,XGN,PRPO,ILMN,TRIB,DMTK,ISPC,OPGN,ME,GENE,BNR,OPK,NVTA,APDN,PRE,DRIO,INBS,BNGO,MYNZ,TTOO,ACRS,LMDX"
123,Silver,Basic Materials,84.15,20,71,7,16,"FSM,PAAS,AG,SVM,MAG"
124,Auto Parts,Consumer Cyclical,84.05,19,16,50,82,"MOD,HLLY,CPS,QS,MPAA,GTX,ALV,AEVA,MLR,GT,SMP,ALSN,STRT,AXL,GNTX,SYPR,MGA,LEA,DORM,INVZ,SRI,DAN,ADNT,KNDI,WPRT,LKQ,CVGI,BWA,PLOW,SUP,THRM,WKSP,APTV,VC,MBLY,MNRO,GGR,CAAS,XPEL,HSAI,FOXF,LAZR,SES,ECX,HYLN,ALLG,FRSX"
125,Gambling,Consumer Cyclical,83.77,18,30,77,76,"DKNG,NGMS,AGS,GAN,LNW,CHDN,RSI,CDRO,ACEL,IGT,CPHC,GAMB,SGHC,LTRY,INSE,EVRI,SBET,GMBLP,GMBL"
126,Consumer Electronics,Technology,83.77,18,25,8,39,"ZEPP,VZIO,AAPL,SONY,HEAR,SONO,VOXX,LPL,MSN,KOSS,GPRO,UEIC,WLDS,MICS,VUZI"
127,Electrical Equipment & Parts,Industrials,83.75,17,17,71,91,"VRT,ADSE,POWL,XPON,HOLI,WIRE,PPSI,CBAT,NVT,FLUX,AYI,ULBI,HUBB,ESP,ATKR,ENVX,ENS,SVT,AEIS,HAYW,PLPC,KE,ENR,APWC,BE,SKYX,RFIL,MVST,FCEL,IPWR,AMPX,RAYA,NVX,LTBR,OPTT,OESX,NEOV,GWH,SLDP,PLUG,EAF,EOSE,POLA,DCFC,FREY,DFLI"
128,Confectioners,Consumer Defensive,83.61,16,24,22,22,"MDLZ,TR,RMCF,HSY"
129,Staffing & Employment Services,Industrials,83.5,16,38,31,18,"UPWK,BBSI,TNET,KELYB,HRT,KELYA,KFY,RHI,KFRC,NSP,PAYX,ADP,HSII,MAN,BGSF,ZIP,JOB,BZ,TBI,MHH,HQI,HSON,IPDN,RCRT,DHX,STAF,PIXY"
130,Beverages—Wineries & Distilleries,Consumer Defensive,83.42,15,7,9,2,"VINE,STZ,WVVIP,WVVI,MGPI,DEO,NAPA,VWE,EAST"
131,Household & Personal Products,Consumer Defensive,83.13,15,30,24,38,"ACU,ELF,NTCO,HIMS,CL,SPB,CHD,HELE,COTY,IPAR,CLX,PG,UL,UG,KMB,EPC,NWL,GROV,EWCZ,EL,MTEX,TKLF,NUS,TANH,SKIN,BRSH"
132,Security & Protection Services,Industrials,83.08,14,24,43,52,"ARLO,MG,CIX,GEO,BCO,NSSC,BRC,EVLV,ALLE,MSA,REZI,SNT,ADT,BAER,NL,VRME,UUU,KSCP,IVDA,DGLY,GFAI,SPCB,LGMK,BKYI"
133,Lumber & Wood Production,Basic Materials,83.06,13,11,16,5,"UFPI,JCTCF,WFG,EVA"
134,Paper & Paper Products,Basic Materials,83.04,13,11,21,5,"SUZ,SLVM,CLW,MERC,MATV,GLT,ITP"
135,Communication Equipment,Technology,82.97,12,7,9,25,"ONDS,MINM,MOBBW,FEIM,LTRX,CRDO,PWFL,CLRO,MOB,ITI,CRNT,MYNA,ERIC,MSI,ITRN,VSAT,LITE,HLIT,KN,PI,SONM,HPE,AUDC,JNPR,CIEN,AVNW,VIAV,GILT,CSCO,ZBRA,NTGR,TSAT,BOSC,MITQ,UTSI,AMPG,INFN,BKTI,FKWL,BDC,CMTL,NOK,DGII,SATS,EXTR,AIRG,OCC,UI,VISL,CLFD,KVHI,ADTN,COMM,ASNS,SILC,CMBM,AKTS,SATX,DZSI,BOXL,CAMP,CASA,INSG,SYTA"
136,Waste Management,Industrials,82.02,11,14,30,75,"RSG,CLH,WM,QRHC,WCN,SRCL,PESI,CWST,AMBI,AWX,LNZA,GFL,JAN,MEG,GWAV,CHNR,AQMS,LICY"
137,Farm Products,Consumer Defensive,81.98,11,26,26,3,"LMNR,VITL,AGRO,ALCO,CALM,DOLE,CHSCP,CHSCN,CHSCM,CHSCO,TSN,CHSCL,FDP,BG,LND,VFF,AFRI,ADM,LOCL,SANW,EDBL,AQB,AGRI"
138,Utilities—Renewable,Utilities,81.86,10,6,3,7,"RNW,CEG,AMPS,BEPC,ELLO,CWEN,BEP,FLNC,AY,AQNU,AQN,HTOOW,CREG,ORA,HTOO,NRGV,NEP,EE,BNRG,WAVE,SMR,ADN"
139,Insurance Brokers,Financial Services,81.76,9,43,81,79,"ERIE,CRVL,EHTH,BRO,AJG,WTW,MMC,SLQT,BRP,GOCO,AON,FANH,HUIZ,TIRX,RELI"
140,Broadcasting,Communication Services,81.22,9,12,5,9,"FUBO,GTN,SSP,SGA,BBGI,CMLS,LSXMB,LSXMA,LSXMK,SJ,TGNA,EVC,LPTV,UONEK,UONE,IHRT,MDIA,CURI,SALM"
141,Leisure,Consumer Cyclical,80.43,8,9,11,21,"JAKK,CUK,ESCA,OSW,GOLF,PLNT,YETI,PLBY,VSTO,SEAS,SIX,PTON,FUN,LTH,MAT,AOUT,JOUT,FNKO,CLAR,MODG,HAS,FGH,XPOF,DOGZ,ISPO,ISPOW,CNXA"
142,Other Industrial Metals & Mining,Basic Materials,79.75,7,8,11,28,"NAK,IPX,GSM,TMC,MTRN,NEXA,BHP,VZLA,RIO,VALE,FURY,TECK,SGML,XPL,STR,WRN,MP,TMQ,SKE,EMX,NMG,GRFX,WWR,CMP,AMLI,UAMY,LITM,SLI,LGO,NB,PLL,USAS,IONR,ELBM"
143,Auto & Truck Dealerships,Consumer Cyclical,79.53,7,9,28,83,"GPI,RUSHA,LAD,CWH,RMBL,CPRT,SAH,RUSHB,KMX,ACVA,AN,PAG,KFS,ABG,CARS,KAR,CANG,NWTN,CRMT,DRVN,LAZY,JZXN,VRM,UXIN,KXIN,CZOO"
144,Luxury Goods,Consumer Cyclical,78.83,6,5,4,9,"SIG,REAL,CPRI,TPR,MOV,BRLT,ELA,BGI,MYTE,LANV,FOSL,JEWL,CTHR"
145,Electronic Gaming & Multimedia,Communication Services,78.49,5,18,15,31,"NCTY,BRAG,BHAT,TTWO,RBLX,GRVY,EA,GIGM,DDI,NTES,GDC,SNAL,SOHU,GMGI,SKLZ,PLTK,MYPS,BILI,GDEV,MSGM,GAME,MGAM,NFTG"
146,Recreational Vehicles,Consumer Cyclical,76.5,5,3,5,79,"THO,WGO,BC,ONEW,LCII,HOG,MBUU,DOOO,MCFT,PII,VEEE,MPX,REE,FUV,FRZA,EZGO,VMAR"
147,Health Information Services,Healthcare,73.7,4,4,7,17,"AUGX,SOPH,SPOK,OPRX,EUDA,TXG,ACCD,EVH,SDGR,PGNY,HSTM,GEHC,GDRX,DOCS,HQY,KERN,CERT,DH,TDOC,VEEV,HCTI,SLP,FORA,PHR,SNCE,MPLN,SLGC,NRC,PRVA,BEAT,HCAT,PINC,AGTI,CCLD,SHCR,SY,MDRX,AMWL,BFRG,RCM,OMCL,NUTX,AKLI,WGS,CPSI,WORX,ACON,STRM,HLTH,ZCMD,OTRK,LIFW,MGRX,RNLX,FOXO,CMAX"
148,Tobacco,Consumer Defensive,73.25,3,5,3,1,"UVV,TPB,RLX,PM,VGR,BTI,MO,GNLN,KAVL,XXII"
149,Real Estate—Diversified,Real Estate,71.72,3,2,18,27,"JOE,STRS,CHCI,TPHS,VINO"
150,Software - Application,Technology,70.78,2,0,2,26,"UPBD,BMR,GETR,CXAI"
151,Auto Manufacturers,Consumer Cyclical,70.35,1,3,18,43,"PEV,LVWR,BLBD,STLA,TSLA,GP,TM,RACE,LI,HMC,GM,RIVN,VEV,XPEV,F,NIO,HYZN,AYRO,LCID,NIU,PSNY,ARVL,EVTV,SOLO,WKHS,GOEV,PSNYW,FSR,MULN,FFIE,CENN,VLCN"
152,Agricultural Inputs,Basic Materials,69.67,1,1,1,1,"BIOX,CGA,SMG,CF,MOS,NTR,CTVA,IPI,ICL,UAN,AVD,FMC,RKDA,SVFD,SEED,YTEN,BHIL"
153,Solar,Technology,61.31,0,0,0,29,"NXT,RUN,FSLR,NOVA,JKS,CSIQ,SPI,ARRY,SPRU,VVPR,ENPH,SHLS,SOL,BEEM,ISUN,PEGY,SPWR,SEDG,MAXN,FTCI,ASTI,SUNW"
154,China,Software - Application,60.11,0,1,0,0,"MMV,AIXI"
