Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
38,REIT—Diversified,Real Estate,97.87,74,61,48,18,"SQFT,ESRT,DBRG,BRSP,UE,SRC,AAT,MDV,BNL,AHH,EPRT,MDRRP,OLP,CTO,ALEX,WPC,VICI,GOODN,GOOD,SAFE,SQFTP,GNL,GIPR,MDRR"
39,REIT—Specialty,Real Estate,97.37,74,68,20,16,"CXW,UNIT,HASI,IRM,AMT,EPR,OUT,LAMR,WY,EQIX,SBAC,RYN,CCI,FPI,AFCG,PCH,GLPI,PW"
40,Home Improvement Retail,Consumer Cyclical,97.0,73,57,32,60,"TTSH,ARHS,HVT,FND,HD,LOW,LL,LIVE,LESL"
41,Department Stores,Consumer Cyclical,96.92,72,22,1,63,"M,KSS,DDS,JWN,CBD"
42,Apparel Manufacturing,Consumer Cyclical,96.91,71,60,23,13,"GIII,XELB,SGC,PVH,KTB,VNCE,RL,LAKE,LEVI,GIL,UA,UAA,OXM,COLM,FIGS,JRSH,HBI,VFC,ZGN,DLA,GOOS,JXJT"
43,Insurance—Reinsurance,Financial Services,96.91,71,78,85,59,"SPNT,BNRE,RGA,GLRE,MHLD,RNR,OXBR"
44,Metal Fabrication,Industrials,96.9,70,62,68,74,"WOR,ESAB,AZZ,CRS,MLI,PRLB,GIFI,IIIN,HAYN,MEC,ATI,RYI,HIHO,NWPX,AP,SGBX,CMPO,TG,ALPP"
45,REIT—Industrial,Real Estate,96.85,70,49,42,45,"ILPT,IIPR,EXR,NSA,CUBE,PLD,STAG,PLYM,EGP,PSA,REXR,FR,TRNO,COLD,LXP,LANDM,SELF,LANDO,LAND"
46,Oil & Gas Integrated,Energy,96.8,69,77,89,73,"YPF,PBR,TGS,EC,E,IMO,TTE,SU,SHEL,EQNR,BP,SLNG,XOM,NFG,CVX,CVE"
47,"Furnishings, Fixtures & Appliances",Consumer Cyclical,96.78,68,41,36,24,"VIRC,KEQU,HBB,MBC,AMWD,NVFY,PATK,TILE,LZB,MLKN,HOFT,TPX,LOVE,LCUT,MHK,ETD,FGI,CRWS,BSET,NTZ,FLXS,VIOT,LEG,IRBT,WHR,COOK,AUVIP,EFOI,ATER,SNBR,PRPL,AUVI"
48,Packaging & Containers,Consumer Cyclical,96.71,68,62,59,26,"PTVE,TUP,KRT,WRK,PKG,AMBP,BALL,BERY,GPK,CCK,IP,PACK,SON,AMCR,MYE,REYN,SEE,GEF,SLGN,TRS,OI,DSS"
49,Software—Application,Technology,96.67,67,86,75,90,"WETG,ML,MTC,CLSK,PRCH,DATSW,COIN,SWVL,MSTR,BLND,OPFI,DGHI,APP,RIOT,VTEX,WEAV,FTFT,DUOL,ESTC,UBER,MKTW,ANY,SHOP,ALKT,FICO,DSP,GRND,DDOG,SEMR,QTWO,TEAM,NOW,PLUS,WALDW,DAVE,FRGE,GTLB,CRM,GWRE,WDAY,MLNK,FROG,FRSH,PALT,VERX,MIXT,CREX,HUBS,ADEA,YALA,BRZE,WALD,RSSS,MNDY,INTU,SNOW,COMP,PTC,LSPD,U,NCNO,BLKB,SURG,TSRI,DV,MANH,SAP,CDNS,LYFT,FSLY,PAR,ANSS,INLX,DCBO,DPSI,MITK,DT,BLBX,ALRM,ADSK,LAW,OTEX,DOCU,ALIT,SPNS,PCOR,CVLT,EGAN,WKME,SPT,PUBM,CWAN,SSNC,EGHT,PRO,APPF,SMAR,TYL,DJCO,AYX,KARO,AGMH,RMNI,PWSC,DSGX,AGYS,AMPL,TTD,AZPN,SSTI,SRAD,YOU,PEGA,NICE,BSY,MNDO,SMRT,VMEO,SOUN,ASAN,ZM,OLB,CXM,RNG,WFCF,INTA,RSKD,WK,AWRE,GBTG,PRGS,ENV,GRAB,BL,INST,AMSWA,JAMF,ZETA,EB,IMMR,CDAY,NTWK,NRDY,MTTR,BIGC,AHI,ENFN,AEYE,YMM,ONTF,RDVT,IDAI,PD,MTLS,QH,AMST,CRNC,CALX,UPLD,IE,BMBL,PDFS,LPSN,EVBG,DATS,NXPL,MODN,PCTY,ISDR,ZI,PYCR,MAPS,DOMO,API,OLO,PET,ETWO,ASUR,APPS,OCFT,BILL,TROO,IDN,DUOT,BMTX,RUM,EZFL,PAYC,MVLA,MRIN,AUUD,SMSI,HTCR,GVP,BCOV,CPTN,XELAP,PERF,VCSA,KC,XELA,HKD,MYSZ,CCRD,SOPA,FRGT,VS,RBT,PBTS,EXFY,STIX,LYT,RTC,OMQS,INPX,OBLG,PHUN,TGL,PRST,CYN,IFBD,VERB"
50,Semiconductor Equipment & Materials,Technology,96.3,66,65,93,98,"CAMT,PLAB,ONTO,LRCX,ENTG,ACMR,KLAC,TGAN,NVMI,OLED,VECO,AMAT,ASML,XPER,ICHR,INDI,KLIC,TER,UCTT,IPGP,COHU,TRT,ATOM,ACLS,AMBA,AXTI,INTT,AEHR,DQ,ASYS"
51,Software—Infrastructure,Technology,96.19,66,75,60,67,"AFRM,GCT,AUID,CRWD,REKR,STNE,NXTP,CETXP,ZS,IOT,VRNS,NTNX,S,AVPT,PLTR,PATH,INFA,PAGS,CYBR,CGNT,WIX,PANW,BASE,SPLK,BKKT,NET,QLYS,MDB,CLBT,GDDY,TUYA,RAMP,ADBE,ALTR,ZENV,BLZE,ACIW,MSFT,AVDX,DOCN,AKAM,SWI,FLT,DAVA,GEN,HOOD,ESMT,RPD,SQ,SNPS,MQ,FOUR,DBX,DLO,RPAY,CHKP,FFIV,PAYS,SPSC,WEX,EVTC,NVEI,OKTA,SQSP,SOS,BAND,MOGO,TCX,EEFT,FIVN,STER,CCCS,RELY,IMXI,EVCM,ORCL,ZUO,PGYWW,QIWI,TENB,TOST,TDC,ATEN,DOX,PGY,RVYL,FTNT,CSGS,SCWX,VRSN,BLIN,IIIV,RXT,BOX,HCP,PRTH,VRNT,GB,PAYO,KLTR,JG,CFLT,LSAK,SANG,CINT,RDWR,APPN,BB,APCX,CETX,ARBE,YEXT,OSPN,SNCR,CCSI,NTCT,TIXT,VHC,STEM,KPLT,ALLT,MARK,ZFOX,CISO,VRAR,VERI,ARQQ,DTSS,MLGO,INTZ,TAOP,EGIO,GRRR,MRDB,BCAN"
52,Utilities—Regulated Electric,Utilities,95.78,65,76,45,47,"GNE,EDN,CEPU,EBR,ENIC,VIA,PCG,NGG,EIX,PPL,VIASP,DUK,ETR,DTE,SO,CMS,AEP,CNP,KEP,PEG,ED,FTS,D,LNT,XEL,FE,OGE,AGR,WEC,POR,PNW,NEE,IDA,EVRG,AEE,ES,EXC,PNM"
53,Specialty Industrial Machinery,Industrials,95.24,65,55,79,81,"AMSC,XMTR,PKOH,TWIN,GHM,CR,CSWI,GTEC,MIR,GE,SPXC,PH,ITT,ETN,KAI,PSN,NPO,IR,THR,TNC,HWM,AOS,PNR,WTS,GRC,FLS,TAYD,GGG,XYL,ROP,EPAC,ITW,AME,NDSN,SXI,GNRC,GTES,OTIS,DCI,ROK,MWA,DOV,RRX,EMR,FELE,CMI,MIDD,ENOV,HI,GTLS,IEX,HURC,CYD,JBT,BWEN,BLDP,B,KRNT,OFLX,TPIC,HLIO,CETY,CVV,LXFR,SHPW,LASE,JCSE,BURU,BW"
54,REIT—Retail,Real Estate,94.99,63,51,39,33,"MAC,SKT,SPG,WSR,AKR,ALX,KIM,CBL,BFS,BRX,WHLRD,PECO,FRT,REG,NNN,SRG,IVT,SITC,KRG,NTST,ROIC,ADC,FCPT,O,PINE,WHLRP,GTY,WHLR"
55,Food Distribution,Consumer Defensive,94.99,63,43,26,49,"ANDE,HFFG,USFD,PFGC,CHEF,SYY,DIT,CVGW,SPTN,AVO,WILC,UNFI"
56,Aerospace & Defense,Industrials,94.77,63,64,51,68,"SKYH,VTSI,OPXS,TGI,TATT,ACHR,LILMW,KTOS,SPR,CDRE,BYRN,ERJ,TDG,AXON,BA,DRS,LILM,AVAV,RKLB,CW,WWD,VSEC,HII,SWBI,EH,BWXT,GD,LHX,RDW,NPK,AIR,KAMN,TXT,SIF,DCO,ATRO,ESLT,ISSC,HXL,POWW,HEI,POWWP,LMT,NOC,PKE,LLAP,RTX,IVAC,CAE,SPCE,AIRI,EVEX,VVX,CODA,RGR,MRCY,CVU,ASTC,AZ,ASTR,PL,KWE,SIDU,MNTS,DPRO,EVTL,LUNR,KITT,AULT"
57,Oil & Gas Refining & Marketing,Energy,94.72,62,54,84,71,"UGP,SUN,PSX,AMTX,CSAN,PARR,CAPL,MPC,CVI,DINO,DK,VVV,VLO,PBF,SGU,CLNE,AE,BPT,VTNR"
58,Information Technology Services,Technology,94.58,61,71,65,47,"BTCM,AUR,UIS,PAY,TLS,KD,CSPI,DMRC,BBAI,AI,DTST,WYY,BR,GLOB,IT,LVRO,INOD,JFU,LDOS,IBM,ACN,CTSH,ASGN,SAIC,WIT,CTLP,CDW,EPAM,CLVT,GDYN,XRX,FIS,JKHY,GIB,TASK,DLB,INFY,CNXC,NABL,CACI,HCKT,NYAX,CLPS,PSFE,EXLS,CNDT,SASI,III,USIO,DXC,FORTY,PRFT,IBEX,G,CTM,WNS,MGIC,FLYW,ALYA,VNET,TWKS,TTEC,GDS,WAVD,NOTE,CRGE"
59,Restaurants,Consumer Cyclical,94.52,61,53,44,77,"TAST,PBPB,WING,ARCO,KRUS,CMG,RRGB,SHAK,BJRI,EAT,DPZ,TXRH,FWRG,QSR,BLMN,BROS,RAVE,JACK,DRI,BTBD,MCD,CNNE,DENN,CAKE,NATH,CHUY,YUM,SG,BH,STKS,FAT,LOCO,PZZA,SBUX,FATBP,WEN,NDLS,CBRL,BDL,FATBB,RICK,GTIM,ARKR,PTLO,REBN,DIN,YOSH,YUMC,THCH,BFI"
60,Insurance—Specialty,Financial Services,94.44,60,70,73,40,"AGO,FNF,AIZ,MTG,TIPT,RDN,NMIH,ESNT,AMBC,ACT,FAF,ITIC,ICCH,AMSF,EIG,RYAN,TRUP,HIPO,MBI,JRVR"
61,Discount Stores,Consumer Defensive,94.33,59,47,30,15,"COST,OLLI,TGT,DLTR,BIG,PSMT,WMT,BJ,DG"
62,REIT—Healthcare Facilities,Real Estate,94.27,59,45,55,58,"DHC,STRW,GMRE,WELL,CTRE,VTR,SBRA,NHI,OHI,HR,DOC,PEAK,LTC,UHT,HTIA,HTIBP,CHCT,MPW"
63,REIT—Mortgage,Real Estate,94.21,58,50,67,45,"AOMR,SEVN,LFT,ARI,RITM,PMT,ABR,GPMT,MFA,LADR,CMTG,AGNCM,AGNCP,ACRE,NYMTM,STWD,MITT,BXMT,AGNCO,NYMTN,REFI,ACR,SACH,AGNC,NYMTL,KREF,AGNCN,AGNCL,NYMTZ,TWO,RWT,FBRT,NREF,DX,NLY,CHMI,LOAN,EFC,CIM,TRTX,RC,EARN,ARR,ORC,NYMT,IVR,AJX"
64,Electronic Components,Technology,94.2,57,52,74,83,"MPTI,ELTK,CLS,KOPN,BELFA,BELFB,DAKT,LGL,FN,LINK,JBL,OUST,MTEK,OSIS,APH,TTMI,BHE,PLXS,TEL,SGMA,LFUS,CTS,DSWL,NSYS,LYTS,IMTE,FLEX,GLW,RELL,SANM,ROG,LPTH,CPSH,NEON,OST,REFR,DAIO,VICR,MEI,WBX,VIAO,KULR,MMAT,HOLO"
